gratis	gratis	adverbe
ganked	gank	verb:simple_past+transitive
ganked	gank	verb:past_participle+transitive
ganking	gank	verb:present_participle+transitive
glas	glas	adjective
glas	glas	adjective
genographic	genographic	adjective
giveaway	giveaway	noun
golly	golly	interjection
golly	golly	noun
glance	glance	verb:simple_present+
glances	glance	verb:simple_present+
glanced	glance	verb:simple_past+
glanced	glance	verb:past_participle+
glancing	glance	verb:present_participle+
glance	glance	noun
glances	glance	noun:plural
granulate	granulate	verb:simple_present+
granulates	granulate	verb:simple_present+
granulated	granulate	verb:simple_past+
granulated	granulate	verb:past_participle+
granulating	granulate	verb:present_participle+
geekasm	geekasm	noun
gastronomy	gastronomy	noun
gourmand	gourmand	noun
gourmands	gourmand	noun:plural
gerundive	gerundive	noun
geodesic	geodesic	noun
geodesic	geodesic	adjective
geodesy	geodesy	noun
G-funk	G-funk	noun
grovel	grovel	verb:simple_present+
grovels	grovel	verb:simple_present+
???	grovel	verb:simple_past+
???	grovel	verb:past_participle+
???	grovel	verb:present_participle+
gravitas	gravitas	noun
gifted	gifted	adjective
gratulation	gratulation	noun
gratulations	gratulation	noun:plural
gratulate	gratulate	verb:simple_present+
gratulates	gratulate	verb:simple_present+
gratulated	gratulate	verb:simple_past+
gratulated	gratulate	verb:past_participle+
gratulating	gratulate	verb:present_participle+
gruel	gruel	noun
groin	groin	noun
groins	groin	noun:plural
greenery	greenery	noun
greeneries	greenery	noun:plural
gradually	gradually	adverbe
gulf	gulf	noun
gulfs	gulf	noun:plural
gradual	gradual	adjective
gradual	gradual	noun
gichi-manidoo-giizis	gichi-manidoo-giizis	noun
grant-in-aid	grant-in-aid	noun
gashkadino-giizis	gashkadino-giizis	noun
gleed	gleed	noun
guillotine	guillotine	noun
giizis	giizis	noun
gichi-	gichi-	adjective
geotextile	geotextile	noun
gattu	gattu	noun
giniw	giniw	noun
gamp	gamp	noun
gaydar	gaydar	noun
goodness	goodness	noun
grad	grad	noun
grads	grad	noun:plural
gaiety	gaiety	noun
gayness	gayness	noun
gonorrhea	gonorrhea	noun
gastronome	gastronome	noun
googlebomb	googlebomb	verb:simple_present+transitive
googlebombs	googlebomb	verb:simple_present+transitive
googlebombed	googlebomb	verb:simple_past+transitive
googlebombed	googlebomb	verb:past_participle+transitive
googlebombing	googlebomb	verb:present_participle+transitive
gollywog	gollywog	noun
G-Man	G-Man	noun
gardyloo	gardyloo	interjection
gloaming	gloaming	noun
goaltender	goaltender	noun
graduand	graduand	noun
graduands	graduand	noun:plural
garage	garage	noun
gbense	gbense	noun
glide	glide	verb:simple_present+intransitive
glides	glide	verb:simple_present+intransitive
glided	glide	verb:simple_past+intransitive
glided	glide	verb:past_participle+intransitive
gliding	glide	verb:present_participle+intransitive
glide	glide	verb:simple_present+transitive
glides	glide	verb:simple_present+transitive
glided	glide	verb:simple_past+transitive
glided	glide	verb:past_participle+transitive
gliding	glide	verb:present_participle+transitive
glide	glide	noun
glides	glide	noun:plural
gliding	gliding	verb:simple_present+
glidings	gliding	verb:simple_present+
glidinged	gliding	verb:simple_past+
glidinged	gliding	verb:past_participle+
glidinging	gliding	verb:present_participle+
gliding	gliding	noun
gbensei	gbensei	noun
gagai	gagai	noun
gusto	gusto	noun
grike	grike	noun
gasconade	gasconade	noun
gay-you	gay-you	noun
gazebo	gazebo	noun
grim	grim	adjective
Gary	Gary	proper noun
groundnut	groundnut	noun
glib	glib	adjective
gradient	gradient	noun
gradients	gradient	noun:plural
grouch	grouch	noun
grouches	grouch	noun:plural
grouch	grouch	verb:simple_present+intransitive
grouchs	grouch	verb:simple_present+intransitive
grouched	grouch	verb:simple_past+intransitive
grouched	grouch	verb:past_participle+intransitive
grouching	grouch	verb:present_participle+intransitive
glede	glede	noun
glacial	glacial	adjective
gibberellin	gibberellin	noun
grumble	grumble	noun
grumble	grumble	verb:simple_present+intransitive
grumbles	grumble	verb:simple_present+intransitive
grumbled	grumble	verb:simple_past+intransitive
grumbled	grumble	verb:past_participle+intransitive
grumbling	grumble	verb:present_participle+intransitive
golliwog	golliwog	noun
guppy	guppy	noun
globule	globule	noun
gleeful	gleeful	adjective
greyboy	greyboy	noun
glare	glare	noun
glare	glare	verb:simple_present+
glares	glare	verb:simple_present+
glared	glare	verb:simple_past+
glared	glare	verb:past_participle+
glaring	glare	verb:present_participle+
goo	goo	noun
gunk	gunk	noun
gathering	gathering	noun
gathering	gathering	verb:simple_present+
gatherings	gathering	verb:simple_present+
gatheringed	gathering	verb:simple_past+
gatheringed	gathering	verb:past_participle+
gatheringing	gathering	verb:present_participle+
get-together	get-together	noun
goof-up	goof-up	noun
goof-ups	goof-up	noun:plural
grackle	grackle	noun
grumpy	grumpy	adjective
genital	genital	adjective
genital	genital	noun
garruda	garruda	noun
gustatory	gustatory	adjective
gawping	gawping	verbal noun
gawping	gawping	adjective
genealogy	genealogy	noun
genealogical	genealogical	adjective
germicidal	germicidal	adjective
grievance	grievance	noun
gooseflesh	gooseflesh	noun
geologic	geologic	adjective
Guadalupian	Guadalupian	adjective
Guadalupian	Guadalupian	noun
gynogenetically	gynogenetically	adverbe
gynogenesis	gynogenesis	noun
Grignard	Grignard	proper noun
grandkid	grandkid	noun
grandkids	grandkid	noun:plural
goldfinch	goldfinch	noun
goldfinches	goldfinch	noun:plural
giddy	giddy	adjective
gugurrgaagaa	gugurrgaagaa	noun
gnomic	gnomic	adjective
genitourinary	genitourinary	adjective
glower	glower	verb:simple_present+intransitive
glowers	glower	verb:simple_present+intransitive
???	glower	verb:simple_past+intransitive
???	glower	verb:past_participle+intransitive
???	glower	verb:present_participle+intransitive
glowers	glower	verb:plural
glower	glower	noun
glowers	glower	noun:plural
Gaia	Gaia	proper noun
Ganymede	Ganymede	proper noun
genitals	genitals	noun
guilin	guilin	noun
glimpse	glimpse	noun
glimpse	glimpse	verb:simple_present+transitive
glimpses	glimpse	verb:simple_present+transitive
glimpsed	glimpse	verb:simple_past+transitive
glimpsed	glimpse	verb:past_participle+transitive
glimpsing	glimpse	verb:present_participle+transitive
gravitate	gravitate	verb:simple_present+intransitive
gravitates	gravitate	verb:simple_present+intransitive
gravitated	gravitate	verb:simple_past+intransitive
gravitated	gravitate	verb:past_participle+intransitive
gravitating	gravitate	verb:present_participle+intransitive
groove	groove	noun
guffaw	guffaw	noun
guffaw	guffaw	verb:simple_present+intransitive
guffaws	guffaw	verb:simple_present+intransitive
???	guffaw	verb:simple_past+intransitive
???	guffaw	verb:past_participle+intransitive
???	guffaw	verb:present_participle+intransitive
gamboge	gamboge	noun
gamboge	gamboge	adjective
gotcha	gotcha	noun
gadget	gadget	noun
gamete	gamete	noun
gametes	gamete	noun:plural
grandam	grandam	noun
genial	genial	adjective
gainsboro	gainsboro	noun
gainsboro	gainsboro	adjective
goldenrod	goldenrod	noun
goldenrod	goldenrod	adjective
grizzle	grizzle	noun
grizzle	grizzle	adjective
gunmetal-grey	gunmetal-grey	noun
gunmetal-grey	gunmetal-grey	adjective
Gregory	Gregory	proper noun
genericize	genericize	verb:simple_present+transitive
genericizes	genericize	verb:simple_present+transitive
genericized	genericize	verb:simple_past+transitive
genericized	genericize	verb:past_participle+transitive
genericizing	genericize	verb:present_participle+transitive
galoshe	galoshe	noun
ginge	ginge	adjective
ginge	ginge	verb:simple_present+
ginges	ginge	verb:simple_present+
ginged	ginge	verb:simple_past+
ginged	ginge	verb:past_participle+
ginging	ginge	verb:present_participle+
ganglion	ganglion	noun
graverobber	graverobber	noun
grommet	grommet	noun
grammatical	grammatical	adjective
gitaar	gitaar	noun
great-grandchild	great-grandchild	noun
guinean	guinean	adjective
Glamorganshire	Glamorganshire	proper noun
gules	gules	noun
gode	gode	noun
geomancy	geomancy	noun
gerontocracy	gerontocracy	noun
Ga	Ga	proper noun
Ge	Ge	proper noun
Gemini	Gemini	proper noun
Gene	Gene	proper noun
Gene	Gene	noun
Genesis	Genesis	proper noun
Gnat	Gnat	proper noun
Gnats	Gnat	proper noun:plural
God	God	proper noun
Goofy	Goofy	proper noun
Google	Google	proper noun
Gorilla	Gorilla	proper noun
Greens	Greens	proper noun
glaucous	glaucous	noun
glaucous	glaucous	adjective
gription	gription	noun
gaud	gaud	noun
gimmer	gimmer	noun
grayling	grayling	noun
genoa	genoa	noun
genoas	genoa	noun:plural
gruff	gruff	adjective
Gentianales	Gentianales	proper noun
gleba	gleba	noun
ginkgo	ginkgo	noun
ginkgoes	ginkgo	noun:plural
Galen	Galen	proper noun
gingerly	gingerly	adverbe
grass-green	grass-green	noun
grass-green	grass-green	adjective
gephyrophobia	gephyrophobia	noun
guyed	guyed	adjective
gwenn	gwenn	adjective
GOTO	GOTO	noun
gigantism	gigantism	noun
giantism	giantism	noun
groupetto	groupetto	noun
grunge	grunge	noun
getaway	getaway	noun
getaways	getaway	noun:plural
georeactor	georeactor	noun
georeactor	georeactor	noun
gatherer	gatherer	noun
guzzle	guzzle	verb:simple_present+
guzzles	guzzle	verb:simple_present+
guzzled	guzzle	verb:simple_past+
guzzled	guzzle	verb:past_participle+
guzzling	guzzle	verb:present_participle+
gobsmacked	gobsmacked	adjective
gherkin	gherkin	noun
gherkins	gherkin	noun:plural
goodfella	goodfella	noun
Gurkha	Gurkha	proper noun
gybe	gybe	verb:simple_present+
gybes	gybe	verb:simple_present+
gybed	gybe	verb:simple_past+
gybed	gybe	verb:past_participle+
gybing	gybe	verb:present_participle+
gybe	gybe	noun
Grammy	Grammy	proper noun
gack	gack	verb:simple_present+transitive
gacks	gack	verb:simple_present+transitive
gacked	gack	verb:simple_past+transitive
gacked	gack	verb:past_participle+transitive
gacking	gack	verb:present_participle+transitive
Geraldine	Geraldine	proper noun
gimmick	gimmick	noun
gimmick	gimmick	verb:simple_present+
gimmicks	gimmick	verb:simple_present+
gimmicked	gimmick	verb:simple_past+
gimmicked	gimmick	verb:past_participle+
gimmicking	gimmick	verb:present_participle+
geoponics	geoponics	noun
gerontology	gerontology	noun
graphology	graphology	noun
go-ahead	go-ahead	noun
go-between	go-between	noun
groyne	groyne	noun
groynes	groyne	noun:plural
ghi	ghi	noun
gafas	gafas	noun
gau	gau	noun
gummy	gummy	adjective
gummy	gummy	noun
gooey	gooey	adjective
greeble	greeble	noun
ganjineh	ganjineh	noun
gnar	gnar	adjective
gnar	gnar	verb:simple_present+intransitive
gnars	gnar	verb:simple_present+intransitive
???	gnar	verb:simple_past+intransitive
???	gnar	verb:past_participle+intransitive
???	gnar	verb:present_participle+intransitive
guerrilla	guerrilla	noun
Guillermo	Guillermo	proper noun
graven	graven	adjective
greasy	greasy	adjective
Gaw	Gaw	proper noun
groundwork	groundwork	noun
gingiva	gingiva	noun
gingivitis	gingivitis	noun
gentrification	gentrification	noun
girllover	girllover	noun
Gen.	Gen.	proper noun
Gen.	Gen.	noun
gal.	gal.	noun
Gutenberg	Gutenberg	proper noun
getting	getting	verb:simple_present+
gettings	getting	verb:simple_present+
gettinged	getting	verb:simple_past+
gettinged	getting	verb:past_participle+
gettinging	getting	verb:present_participle+
galliano	galliano	noun
gentlemen	gentlemen	noun
Godspeed	Godspeed	noun
gratefully	gratefully	adverbe
glanced	glanced	verb:simple_present+
glanceds	glanced	verb:simple_present+
???	glanced	verb:simple_past+
???	glanced	verb:past_participle+
???	glanced	verb:present_participle+
glances	glances	verb:simple_present+
glancess	glances	verb:simple_present+
???	glances	verb:simple_past+
???	glances	verb:past_participle+
???	glances	verb:present_participle+
glancing	glancing	verb:simple_present+
glancings	glancing	verb:simple_present+
glancinged	glancing	verb:simple_past+
glancinged	glancing	verb:past_participle+
glancinging	glancing	verb:present_participle+
gasoduct	gasoduct	noun
go-getter	go-getter	noun
glasnost	glasnost	noun
gomphosis	gomphosis	noun
grenade	grenade	noun
gina	gina	noun
ginas	gina	noun:plural
gets	gets	verb:simple_present+
getss	gets	verb:simple_present+
getsed	gets	verb:simple_past+
getsed	gets	verb:past_participle+
getsing	gets	verb:present_participle+
gastropod	gastropod	noun
gestalt	gestalt	noun
Gestalt	Gestalt	noun
glume	glume	noun
gnawer	gnawer	noun
granule	granule	noun
grill	grill	noun
grill	grill	noun
grill	grill	verb:simple_present+
grills	grill	verb:simple_present+
grilled	grill	verb:simple_past+
grilled	grill	verb:past_participle+
grilling	grill	verb:present_participle+
gazed	gazed	verb:simple_present+
gazeds	gazed	verb:simple_present+
???	gazed	verb:simple_past+
???	gazed	verb:past_participle+
???	gazed	verb:present_participle+
guests	guests	noun
gates	gates	noun
goglet	goglet	noun
gelatinous	gelatinous	adjective
guesswork	guesswork	noun
gravamen	gravamen	noun
gravamens	gravamen	noun:plural
geminate	geminate	verb:simple_present+
geminates	geminate	verb:simple_present+
geminated	geminate	verb:simple_past+
geminated	geminate	verb:past_participle+
geminating	geminate	verb:present_participle+
geminate	geminate	adjective
gemmulation	gemmulation	noun
gemmule	gemmule	noun
gemma	gemma	noun
ginner	ginner	noun
gweilo	gweilo	noun
grouty	grouty	adjective
gashouse	gashouse	noun
gonif	gonif	noun
goog	goog	noun
grift	grift	noun
grifter	grifter	noun
gumshoe	gumshoe	noun
gametocyte	gametocyte	noun
gametocytes	gametocyte	noun:plural
gazing	gazing	verb:simple_present+
gazings	gazing	verb:simple_present+
gazinged	gazing	verb:simple_past+
gazinged	gazing	verb:past_participle+
gazinging	gazing	verb:present_participle+
goofball	goofball	noun
goofball	goofball	adjective
grandiloquently	grandiloquently	adverbe
grot	grot	noun
grotto	grotto	noun
godforsaken	godforsaken	adjective
ganef	ganef	noun
gunsel	gunsel	noun
grotty	grotty	adjective
Ghazwa	Ghazwa	noun
geez	geez	interjection
gable	gable	noun
griffon	griffon	noun
ghostly	ghostly	adjective
googolplexed	googolplexed	adjective
graph-theoretical	graph-theoretical	adjective
gamelan	gamelan	noun
grandiloquence	grandiloquence	noun
greenwash	greenwash	noun
greenwash	greenwash	verb:simple_present+
greenwashs	greenwash	verb:simple_present+
greenwashed	greenwash	verb:simple_past+
greenwashed	greenwash	verb:past_participle+
greenwashing	greenwash	verb:present_participle+
groupthink	groupthink	noun
graphomania	graphomania	noun
grounder	grounder	noun
grounders	grounder	noun:plural
grantee	grantee	noun
grantor	grantor	noun
givens	givens	noun
gastrotrich	gastrotrich	noun
geodetic	geodetic	adjective
gigged	gigged	verb:simple_present+
giggeds	gigged	verb:simple_present+
???	gigged	verb:simple_past+
???	gigged	verb:past_participle+
???	gigged	verb:present_participle+
groovy	groovy	adjective
gibbous	gibbous	adjective
garner	garner	noun
garner	garner	verb:simple_present+
garners	garner	verb:simple_present+
???	garner	verb:simple_past+
???	garner	verb:past_participle+
???	garner	verb:present_participle+
gan	gan	verb:simple_present+
gans	gan	verb:simple_present+
???	gan	verb:simple_past+
???	gan	verb:past_participle+
???	gan	verb:present_participle+
germane	germane	adjective
gouging	gouging	verb:simple_present+
gougings	gouging	verb:simple_present+
gouginged	gouging	verb:simple_past+
gouginged	gouging	verb:past_participle+
gouginging	gouging	verb:present_participle+
gouger	gouger	noun
goop	goop	noun
gaudy	gaudy	adjective
